사업구분명,ym,count
전기인증,2012-12,1809
전기인증,2013-01,1462
전기인증,2013-02,1076
전기인증,2013-03,1458
전기인증,2013-04,1681
전기인증,2013-05,1736
전기인증,2013-06,1434
전기인증,2013-07,1619
전기인증,2013-08,1901
전기인증,2013-09,1331
전기인증,2013-10,1679
전기인증,2013-11,1367
전기인증,2013-12,1791
전기인증,2014-01,1456
전기인증,2014-02,1374
전기인증,2014-03,1657
전기인증,2014-04,1764
전기인증,2014-05,1360
전기인증,2014-06,1349
전기인증,2014-07,1358
전기인증,2014-08,1292
전기인증,2014-09,1212
전기인증,2014-10,1334
전기인증,2014-11,1409
전기인증,2014-12,1512
전기인증,2015-01,1394
전기인증,2015-02,1347
전기인증,2015-03,1600
전기인증,2015-04,1585
전기인증,2015-05,1349
전기인증,2015-06,1552
전기인증,2015-07,1597
전기인증,2015-08,1412
전기인증,2015-09,1310
전기인증,2015-10,1231
전기인증,2015-11,2374
전기인증,2015-12,1486
전기인증,2016-01,1427
전기인증,2016-02,1181
전기인증,2016-03,1357
전기인증,2016-04,1641
전기인증,2016-05,1390
전기인증,2016-06,1448
전기인증,2016-07,1901
전기인증,2016-08,1569
전기인증,2016-09,1627
전기인증,2016-10,1742
전기인증,2016-11,1997
전기인증,2016-12,2038
전기인증,2017-01,1812
전기인증,2017-02,1300
전기인증,2017-03,1774
전기인증,2017-04,1476
전기인증,2017-05,1471
전기인증,2017-06,1529
전기인증,2017-07,2075
전기인증,2017-08,1517
전기인증,2017-09,1617
전기인증,2017-10,1164
전기인증,2017-11,1705
전기인증,2017-12,1629
전기인증,2018-01,1648
전기인증,2018-02,1400
전기인증,2018-03,1662
전기인증,2018-04,1632
전기인증,2018-05,1509
전기인증,2018-06,1515
전기인증,2018-07,1559
전기인증,2018-08,1529
전기인증,2018-09,1199
전기인증,2018-10,1497
전기인증,2018-11,1625
전기인증,2018-12,1414
전기인증,2019-01,1521
전기인증,2019-02,1225
전기인증,2019-03,1532
전기인증,2019-04,1974
전기인증,2019-05,1705
전기인증,2019-06,1379
전기인증,2019-07,1530
전기인증,2019-08,1451
전기인증,2019-09,1656
전기인증,2019-10,1558
전기인증,2019-11,1598
전기인증,2019-12,2044
전기인증,2020-01,1399
전기인증,2020-02,1287
전기인증,2020-03,1648
전기인증,2020-04,1587
전기인증,2020-05,1632
전기인증,2020-06,1511
전기인증,2020-07,1628
전기인증,2020-08,1323
전기인증,2020-09,1591
전기인증,2020-10,1528
전기인증,2020-11,1446
전기인증,2020-12,1604
전기인증,2021-01,1616
전기인증,2021-02,1470
전기인증,2021-03,1886
전기인증,2021-04,1714
전기인증,2021-05,1316
전기인증,2021-06,1595
전기인증,2021-07,1552
전기인증,2021-08,1587
전기인증,2021-09,1590
전기인증,2021-10,1894
전기인증,2021-11,1387
전기인증,2021-12,1791
전기인증,2022-01,1588
전기인증,2022-02,983
전기인증,2022-03,1441
전기인증,2022-04,1347
전기인증,2022-05,1240
전기인증,2022-06,1480
전기인증,2022-07,1388
전기인증,2022-08,1421
전기인증,2022-09,1277
전기인증,2022-10,1132
전기인증,2022-11,1428
전기인증,2022-12,1069
전기인증,2023-01,1113
전기인증,2023-02,1263
표준,2006-01,15
표준,2006-02,6260
표준,2006-03,9054
표준,2006-04,7609
표준,2006-05,9095
표준,2006-06,9067
표준,2006-07,7884
표준,2006-08,7984
표준,2006-09,8113
표준,2006-10,7848
표준,2006-11,9579
표준,2006-12,8134
표준,2007-01,8882
표준,2007-02,6801
표준,2007-03,9364
표준,2007-04,8602
표준,2007-05,10711
표준,2007-06,8780
표준,2007-07,7374
표준,2007-08,8007
표준,2007-09,7523
표준,2007-10,9368
표준,2007-11,9170
표준,2007-12,8280
표준,2008-01,8624
표준,2008-02,6702
표준,2008-03,9495
표준,2008-04,9434
표준,2008-05,8735
표준,2008-06,8222
표준,2008-07,9662
표준,2008-08,7436
표준,2008-09,8333
표준,2008-10,9017
표준,2008-11,8445
표준,2008-12,8801
표준,2009-01,5932
표준,2009-02,7866
표준,2009-03,9097
표준,2009-04,7933
표준,2009-05,7566
표준,2009-06,8804
표준,2009-07,9103
표준,2009-08,7093
표준,2009-09,8294
표준,2009-10,8467
표준,2009-11,9273
표준,2009-12,8836
표준,2010-01,6235
표준,2010-02,7522
표준,2010-03,9067
표준,2010-04,8373
표준,2010-05,8788
표준,2010-06,8892
표준,2010-07,8831
표준,2010-08,7812
표준,2010-09,7564
표준,2010-10,8699
표준,2010-11,10238
표준,2010-12,9460
표준,2011-01,7646
표준,2011-02,6257
표준,2011-03,9383
표준,2011-04,9318
표준,2011-05,8885
표준,2011-06,9473
표준,2011-07,8762
표준,2011-08,8419
표준,2011-09,9123
표준,2011-10,8828
표준,2011-11,9340
표준,2011-12,10449
표준,2012-01,7785
표준,2012-02,8238
표준,2012-03,10231
표준,2012-04,9213
표준,2012-05,8478
표준,2012-06,9502
표준,2012-07,11273
표준,2012-08,9119
표준,2012-09,8799
표준,2012-10,8708
표준,2012-11,10131
표준,2012-12,9269
표준,2013-01,9752
표준,2013-02,7910
표준,2013-03,10352
표준,2013-04,10602
표준,2013-05,9098
표준,2013-06,10120
표준,2013-07,11553
표준,2013-08,9223
표준,2013-09,8331
표준,2013-10,8933
표준,2013-11,10628
표준,2013-12,2559
표준,2014-01,10158
표준,2014-02,9889
표준,2014-03,10719
표준,2014-04,12612
표준,2014-05,8618
표준,2014-06,10596
표준,2014-07,13033
표준,2014-08,9633
표준,2014-09,9071
표준,2014-10,11108
표준,2014-11,10414
표준,2015-01,10459
표준,2015-02,8915
표준,2015-03,12481
표준,2015-04,12320
표준,2015-05,10815
표준,2015-06,12403
표준,2015-07,13816
표준,2015-08,10612
표준,2015-09,9505
표준,2015-10,9553
형식승인,2019-03,2
형식승인,2019-04,1
형식승인,2020-05,48
형식승인,2020-06,30
형식승인,2020-07,10
형식승인,2020-08,54
형식승인,2020-09,7
형식승인,2020-10,15
형식승인,2020-11,10
형식승인,2020-12,28
형식승인,2021-01,101
형식승인,2021-02,68
형식승인,2021-03,4
형식승인,2021-04,28
형식승인,2021-05,40
형식승인,2021-06,44
형식승인,2021-07,49
형식승인,2021-08,37
형식승인,2021-09,38
형식승인,2021-10,28
형식승인,2021-11,55
형식승인,2021-12,45
형식승인,2022-01,80
형식승인,2022-02,30
형식승인,2022-03,35
형식승인,2022-04,32
형식승인,2022-05,48
형식승인,2022-06,57
형식승인,2022-07,44
형식승인,2022-08,61
형식승인,2022-09,60
형식승인,2022-10,93
형식승인,2022-11,47
형식승인,2022-12,70
형식승인,2023-01,56
형식승인,2023-02,69
