사업구분명,단위사업중분류명,m,count
기업지원,전기용품안전인증(KC)시험,1,237
기업지원,전기용품안전인증(KC)시험,2,684
기업지원,전기용품안전인증(KC)시험,3,605
기업지원,전기용품안전인증(KC)시험,4,917
기업지원,전기용품안전인증(KC)시험,5,772
기업지원,전기용품안전인증(KC)시험,6,775
기업지원,전기용품안전인증(KC)시험,7,942
기업지원,전기용품안전인증(KC)시험,8,844
기업지원,전기용품안전인증(KC)시험,9,1030
기업지원,전기용품안전인증(KC)시험,10,1001
기업지원,전기용품안전인증(KC)시험,11,1105
기업지원,전기용품안전인증(KC)시험,12,723
기업지원,전자파일반시험,1,44
기업지원,전자파일반시험,2,8
기업지원,전자파일반시험,3,24
기업지원,전자파일반시험,4,9
기업지원,전자파일반시험,5,17
기업지원,전자파일반시험,6,16
기업지원,전자파일반시험,7,19
기업지원,전자파일반시험,8,36
기업지원,전자파일반시험,9,13
기업지원,전자파일반시험,10,10
기업지원,전자파일반시험,11,41
기업지원,전자파일반시험,12,48
기업지원,정보통신시험,10,2
기업지원,정부 납품시험,1,1228
기업지원,정부 납품시험,2,1175
기업지원,정부 납품시험,3,1415
기업지원,정부 납품시험,4,1580
기업지원,정부 납품시험,5,972
기업지원,정부 납품시험,6,1509
기업지원,정부 납품시험,7,977
기업지원,정부 납품시험,8,937
기업지원,정부 납품시험,9,1543
기업지원,정부 납품시험,10,1573
기업지원,정부 납품시험,11,1639
기업지원,정부 납품시험,12,2415
기업지원,중소기업지원사업,7,1
기업지원,중소기업지원사업,8,3
기업지원,중소기업지원사업,9,3
기업지원,중소기업지원사업,10,1
기업지원,해외인증획득 지원,1,422
기업지원,해외인증획득 지원,2,464
기업지원,해외인증획득 지원,3,577
기업지원,해외인증획득 지원,4,553
기업지원,해외인증획득 지원,5,386
기업지원,해외인증획득 지원,6,469
기업지원,해외인증획득 지원,7,477
기업지원,해외인증획득 지원,8,529
기업지원,해외인증획득 지원,9,511
기업지원,해외인증획득 지원,10,511
기업지원,해외인증획득 지원,11,398
기업지원,해외인증획득 지원,12,591
기업지원,환경설비 성능검사,1,1
방폭인증,KAS인증시험,10,2
방폭인증,기술지도,1,2
방폭인증,기술지도,2,1
방폭인증,기술지도,3,1
방폭인증,방폭기기 시험,1,1329
방폭인증,방폭기기 시험,2,1190
방폭인증,방폭기기 시험,3,918
방폭인증,방폭기기 시험,4,1127
방폭인증,방폭기기 시험,5,1003
방폭인증,방폭기기 시험,6,1131
방폭인증,방폭기기 시험,7,1114
방폭인증,방폭기기 시험,8,1170
방폭인증,방폭기기 시험,9,959
방폭인증,방폭기기 시험,10,1094
방폭인증,방폭기기 시험,11,1151
방폭인증,방폭기기 시험,12,1501
방폭인증,방폭기기 안전인증(KC)시험,1,1220
방폭인증,방폭기기 안전인증(KC)시험,2,1019
방폭인증,방폭기기 안전인증(KC)시험,3,1518
방폭인증,방폭기기 안전인증(KC)시험,4,955
방폭인증,방폭기기 안전인증(KC)시험,5,972
방폭인증,방폭기기 안전인증(KC)시험,6,824
방폭인증,방폭기기 안전인증(KC)시험,7,1597
